id,title,original_title,overview,adult,original_language,popularity,release_date,vote_average,vote_count
1579138,Siccîn 9,Siccîn 9,,False,tr,1.7313,2026-05-14,0.0,0
1157869,Parallel Tales,Histoires parallèles,"In search of inspiration for her new novel, Sylvie spies on her neighbors in the building across the street using a telescope. When she hires young Adam to help her with her daily routine, she has no idea that he will turn her life and her work upside down, until the fiction she had imagined surpasses the reality of them all.",False,fr,1.5946,2026-05-14,5.681,47
1242434,Highest 2 Lowest,Highest 2 Lowest,"When a titan music mogul, widely known as having the ""best ears in the business"", is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma.",False,en,4.5064,2025-08-14,5.5,487
1645368,Forsaken,L'abandon,"Everyone knows the name of Samuel Paty, but few people really know his story. On October 16, 2020, Samuel Paty, professor of History-Geography, was murdered at the end of his college. In the light of investigations and trials, this film looks back on his last eleven days, and the gear that led to his tragic death.",False,fr,2.0646,2026-05-13,7.823,48
1479369,Red Rue Express,Потяг «Червона Рута»,"A romantic comedy that modernizes and reimagines one of the most famous and vivid Ukrainian national symbols, Chervona Ruta, and turns it into a new cultural phenomenon.",False,uk,0.8291,2026-08-20,0.0,0
1036081,Khalifa,ഖലീഫ,"Aamir Ali, a notorious gold smuggling kingpin who inherited his multi-million dollar criminal enterprise from a lineage of gangsters, is drawn into a web of vengeance, legacy and power.",False,ml,1.5138,2026-08-20,0.0,0
1678844,The Bus: A French Football Mutiny,Le Bus : Les Bleus en grève,This documentary revisits the French football team's controversial 2010 World Cup and the bus strike that sparked global headlines and national outrage.,False,fr,1.32,2026-05-13,6.8,49
1211185,Asad,أسد,A slave in 19th Century Egypt revolts against his masters for equal rights for slaves to live freely.,False,ar,2.1732,2026-05-13,7.5,2
1371706,UAP,UAP,"When a group of friends, on their annual 4th of July trip, finds a UAP (Unidentified Anomalous Phenomena) that lands behind their lake house, they must decide if they want to use it for selfish gain, or save the world from destruction.",False,en,0.4272,2026-05-13,0.0,0
813418,Hot Spot,Hot Spot,"Set in a near future society ruled by sentient A.I., a private eye investigates a murder case only to discover a rebel group capable of undermining the digital overlord. As the detective's identity slowly unravels, his world enters a state of hypnotic meltdown.",False,en,1.4007,2026-08-21,0.0,0
1691129,Mulan: Light A fire,木兰：血刃,"After returning home from war, Mulan discovers her family shattered by corruption and violence. As she investigates the truth behind her brother’s death, she uncovers a vast conspiracy involving corrupt officials and ruthless merchants, forcing her onto a solitary path of vengeance and justice.",False,zh,2.7184,2026-05-11,0.0,0
